precio,area,habitaciones,banos,garaje,piscina,ubicacion,año_construccion
450000,120,3,2,Si,No,Centro,2015
380000,95,2,1,No,No,Suburbio,2010
520000,150,4,3,Si,Si,Centro,2018
320000,85,2,1,Si,No,Suburbio,2008
680000,200,5,4,Si,Si,Centro,2020
290000,75,2,1,No,No,Rural,2005
410000,110,3,2,Si,No,Suburbio,2012
550000,160,4,3,Si,Si,Centro,2019
350000,90,2,2,No,No,Suburbio,2009
480000,130,3,2,Si,No,Centro,2016
620000,180,4,3,Si,Si,Centro,2021
310000,80,2,1,Si,No,Rural,2007
430000,115,3,2,Si,No,Suburbio,2014
590000,170,4,3,Si,Si,Centro,2020
340000,88,2,2,No,No,Suburbio,2011
510000,145,3,3,Si,No,Centro,2017
370000,100,3,2,Si,No,Suburbio,2013
650000,190,5,4,Si,Si,Centro,2021
300000,78,2,1,No,No,Rural,2006
460000,125,3,2,Si,No,Centro,2015
570000,165,4,3,Si,Si,Centro,2019
330000,82,2,1,Si,No,Suburbio,2008
440000,118,3,2,Si,No,Centro,2016
360000,92,2,2,No,No,Suburbio,2010
500000,140,3,3,Si,No,Centro,2018
320000,85,2,1,Si,No,Rural,2007
470000,128,3,2,Si,No,Centro,2016
390000,105,3,2,Si,No,Suburbio,2014
610000,175,4,3,Si,Si,Centro,2020
350000,87,2,1,No,No,Suburbio,2009
